Bias,Order
0.01998000033199787,0.023699859157204628
0.039979998022317886,0.015045358799397945
0.05997999757528305,0.03079623356461525
0.07998000085353851,0.010282226838171482
0.09997999668121338,0.03068135865032673
0.11997999995946884,0.005818160716444254
0.1399800032377243,0.006342665757983923
0.15997999906539917,0.026529617607593536
0.17997999489307404,0.03209104388952255
0.1999799907207489,0.020018458366394043
0.21998000144958496,0.03239013999700546
0.23997999727725983,0.041071925312280655
0.2599799931049347,0.035253483802080154
0.27998000383377075,0.018584905192255974
0.2999799847602844,0.046483490616083145
0.3199799954891205,0.038031212985515594
0.33998000621795654,0.045086637139320374
0.3599799871444702,0.03213212639093399
0.3799799978733063,0.027662361040711403
0.39997997879981995,0.043103475123643875
0.419979989528656,0.05072525888681412
0.43998000025749207,0.06528947502374649
0.45997998118400574,0.06486666947603226
0.4799799919128418,0.04669007286429405
0.49997997283935547,0.05894822999835014
0.5199800133705139,0.05636265128850937
0.5399799942970276,0.061139170080423355
0.5599799752235413,0.06280232965946198
0.5799799561500549,0.056067921221256256
0.5999799966812134,0.07357825338840485
0.619979977607727,0.08165992796421051
0.6399799585342407,0.06198388710618019
0.6599799990653992,0.07270492613315582
0.6799799799919128,0.09348300844430923
0.6999799609184265,0.08055245131254196
0.719980001449585,0.08268152922391891
0.7399799823760986,0.0641893818974495
0.7599799633026123,0.06796090304851532
0.7799800038337708,0.0818190649151802
0.7999799847602844,0.07209005951881409
0.8199799656867981,0.06992097198963165
0.8399800062179565,0.07249484211206436
0.8599799871444702,0.08759508281946182
0.8799799680709839,0.07359086722135544
0.8999799489974976,0.06507199257612228
0.919979989528656,0.09073283523321152
0.9399799704551697,0.06806639581918716
0.9599799513816833,0.08638111501932144
0.9799799919128418,0.09208939224481583
0.9999799728393555,0.06881614029407501
